estrategia,data,ticker,peso
EqualWeight,2019-01-02,SANB11,0.007634
EqualWeight,2019-01-02,SANB3,0.007634
EqualWeight,2019-01-02,SANB4,0.007634
EqualWeight,2019-01-02,SAPR4,0.007634
EqualWeight,2019-01-02,SBSP3,0.007634
EqualWeight,2019-01-02,SCAR3,0.007634
EqualWeight,2019-01-02,SHUL4,0.007634
EqualWeight,2019-01-02,SLCE3,0.007634
EqualWeight,2019-01-02,SMTO3,0.007634
EqualWeight,2019-01-02,TASA4,0.007634
EqualWeight,2019-01-02,TCSA3,0.007634
EqualWeight,2019-01-02,TELB4,0.007634
EqualWeight,2019-01-02,TGMA3,0.007634
EqualWeight,2019-01-02,TIMS3,0.007634
EqualWeight,2019-01-02,TOTS3,0.007634
EqualWeight,2019-01-02,TPIS3,0.007634
EqualWeight,2019-01-02,TRIS3,0.007634
EqualWeight,2019-01-02,TUPY3,0.007634
EqualWeight,2019-01-02,UNIP6,0.007634
EqualWeight,2019-01-02,USIM3,0.007634
EqualWeight,2019-01-02,USIM5,0.007634
EqualWeight,2019-01-02,VALE3,0.007634
EqualWeight,2019-01-02,VIVR3,0.007634
EqualWeight,2019-01-02,VIVT3,0.007634
EqualWeight,2019-01-02,VLID3,0.007634
EqualWeight,2019-01-02,VSTE3,0.007634
EqualWeight,2019-01-02,WEGE3,0.007634
EqualWeight,2019-01-02,WHRL4,0.007634
EqualWeight,2019-01-02,YDUQ3,0.007634
EqualWeight,2019-02-01,ABCB4,0.007634
EqualWeight,2019-02-01,ABEV3,0.007634
EqualWeight,2019-02-01,AGRO3,0.007634
EqualWeight,2019-02-01,ALPA4,0.007634
EqualWeight,2019-02-01,AMAR3,0.007634
EqualWeight,2019-02-01,AMER3,0.007634
EqualWeight,2019-02-01,AXIA3,0.007634
EqualWeight,2019-02-01,AXIA6,0.007634
EqualWeight,2019-02-01,B3SA3,0.007634
EqualWeight,2019-02-01,BBAS3,0.007634
EqualWeight,2019-02-01,BBDC3,0.007634
EqualWeight,2019-02-01,BBDC4,0.007634
EqualWeight,2019-02-01,BEEF3,0.007634
EqualWeight,2019-02-01,BEES3,0.007634
EqualWeight,2019-02-01,BRAP3,0.007634
EqualWeight,2019-02-01,BRAP4,0.007634
EqualWeight,2019-02-01,BRKM3,0.007634
EqualWeight,2019-02-01,BRKM5,0.007634
EqualWeight,2019-02-01,BRSR6,0.007634
EqualWeight,2019-02-01,CGAS5,0.007634
EqualWeight,2019-02-01,CLSC4,0.007634
EqualWeight,2019-02-01,CMIG3,0.007634
EqualWeight,2019-02-01,CMIG4,0.007634
EqualWeight,2019-02-01,COCE5,0.007634
EqualWeight,2019-02-01,CPFE3,0.007634
EqualWeight,2019-02-01,CPLE3,0.007634
EqualWeight,2019-02-01,CSAN3,0.007634
EqualWeight,2019-02-01,CSMG3,0.007634
EqualWeight,2019-02-01,CSNA3,0.007634
EqualWeight,2019-02-01,CSUD3,0.007634
EqualWeight,2019-02-01,CYRE3,0.007634
EqualWeight,2019-02-01,DIRR3,0.007634
EqualWeight,2019-02-01,DXCO3,0.007634
EqualWeight,2019-02-01,EGIE3,0.007634
EqualWeight,2019-02-01,EMBJ3,0.007634
EqualWeight,2019-02-01,ENEV3,0.007634
EqualWeight,2019-02-01,EQTL3,0.007634
EqualWeight,2019-02-01,ETER3,0.007634
EqualWeight,2019-02-01,EUCA4,0.007634
EqualWeight,2019-02-01,EVEN3,0.007634
EqualWeight,2019-02-01,EZTC3,0.007634
EqualWeight,2019-02-01,FESA4,0.007634
EqualWeight,2019-02-01,FHER3,0.007634
EqualWeight,2019-02-01,FICT3,0.007634
EqualWeight,2019-02-01,FLRY3,0.007634
EqualWeight,2019-02-01,GFSA3,0.007634
EqualWeight,2019-02-01,GGBR3,0.007634
EqualWeight,2019-02-01,GGBR4,0.007634
EqualWeight,2019-02-01,GOAU3,0.007634
EqualWeight,2019-02-01,GOAU4,0.007634
EqualWeight,2019-02-01,GOLL54,0.007634
EqualWeight,2019-02-01,GRND3,0.007634
EqualWeight,2019-02-01,HAGA4,0.007634
EqualWeight,2019-02-01,HBOR3,0.007634
EqualWeight,2019-02-01,HYPE3,0.007634
EqualWeight,2019-02-01,INEP4,0.007634
EqualWeight,2019-02-01,ISAE4,0.007634
EqualWeight,2019-02-01,ITSA3,0.007634
EqualWeight,2019-02-01,ITSA4,0.007634
EqualWeight,2019-02-01,ITUB3,0.007634
EqualWeight,2019-02-01,ITUB4,0.007634
EqualWeight,2019-02-01,JHSF3,0.007634
EqualWeight,2019-02-01,KEPL3,0.007634
EqualWeight,2019-02-01,KLBN4,0.007634
EqualWeight,2019-02-01,LAND3,0.007634
EqualWeight,2019-02-01,LIGT3,0.007634
EqualWeight,2019-02-01,LOGN3,0.007634
EqualWeight,2019-02-01,LPSB3,0.007634
EqualWeight,2019-02-01,LREN3,0.007634
EqualWeight,2019-02-01,LUPA3,0.007634
EqualWeight,2019-02-01,MBRF3,0.007634
EqualWeight,2019-02-01,MDIA3,0.007634
EqualWeight,2019-02-01,MOTV3,0.007634
EqualWeight,2019-02-01,MRVE3,0.007634
EqualWeight,2019-02-01,MULT3,0.007634
EqualWeight,2019-02-01,MYPK3,0.007634
EqualWeight,2019-02-01,NATU3,0.007634
EqualWeight,2019-02-01,NEXP3,0.007634
EqualWeight,2019-02-01,ODPV3,0.007634
EqualWeight,2019-02-01,OIBR3,0.007634
EqualWeight,2019-02-01,OIBR4,0.007634
EqualWeight,2019-02-01,PDGR3,0.007634
EqualWeight,2019-02-01,PDTC3,0.007634
EqualWeight,2019-02-01,PETR3,0.007634
EqualWeight,2019-02-01,PETR4,0.007634
EqualWeight,2019-02-01,PFRM3,0.007634
EqualWeight,2019-02-01,PINE4,0.007634
EqualWeight,2019-02-01,PMAM3,0.007634
EqualWeight,2019-02-01,POMO3,0.007634
EqualWeight,2019-02-01,POMO4,0.007634
EqualWeight,2019-02-01,POSI3,0.007634
EqualWeight,2019-02-01,PSSA3,0.007634
EqualWeight,2019-02-01,PTBL3,0.007634
EqualWeight,2019-02-01,RADL3,0.007634
EqualWeight,2019-02-01,RAPT4,0.007634
EqualWeight,2019-02-01,RCSL4,0.007634
EqualWeight,2019-02-01,RDNI3,0.007634
EqualWeight,2019-02-01,RENT3,0.007634
EqualWeight,2019-02-01,RIAA3,0.007634
EqualWeight,2019-02-01,ROMI3,0.007634
EqualWeight,2019-02-01,RPMG3,0.007634
EqualWeight,2019-02-01,RSID3,0.007634
EqualWeight,2019-02-01,SANB11,0.007634
EqualWeight,2019-02-01,SANB3,0.007634
EqualWeight,2019-02-01,SANB4,0.007634
EqualWeight,2019-02-01,SAPR4,0.007634
EqualWeight,2019-02-01,SBSP3,0.007634
EqualWeight,2019-02-01,SCAR3,0.007634
EqualWeight,2019-02-01,SHUL4,0.007634
EqualWeight,2019-02-01,SLCE3,0.007634
EqualWeight,2019-02-01,SMTO3,0.007634
EqualWeight,2019-02-01,TASA4,0.007634
EqualWeight,2019-02-01,TCSA3,0.007634
EqualWeight,2019-02-01,TELB4,0.007634
EqualWeight,2019-02-01,TGMA3,0.007634
EqualWeight,2019-02-01,TIMS3,0.007634
EqualWeight,2019-02-01,TOTS3,0.007634
EqualWeight,2019-02-01,TPIS3,0.007634
EqualWeight,2019-02-01,TRIS3,0.007634
EqualWeight,2019-02-01,TUPY3,0.007634
EqualWeight,2019-02-01,UNIP6,0.007634
EqualWeight,2019-02-01,USIM3,0.007634
EqualWeight,2019-02-01,USIM5,0.007634
EqualWeight,2019-02-01,VALE3,0.007634
EqualWeight,2019-02-01,VIVR3,0.007634
EqualWeight,2019-02-01,VIVT3,0.007634
EqualWeight,2019-02-01,VLID3,0.007634
EqualWeight,2019-02-01,VSTE3,0.007634
EqualWeight,2019-02-01,WEGE3,0.007634
EqualWeight,2019-02-01,WHRL4,0.007634
EqualWeight,2019-02-01,YDUQ3,0.007634
EqualWeight,2019-03-01,ABCB4,0.007634
EqualWeight,2019-03-01,ABEV3,0.007634
EqualWeight,2019-03-01,AGRO3,0.007634
EqualWeight,2019-03-01,ALPA4,0.007634
EqualWeight,2019-03-01,AMAR3,0.007634
EqualWeight,2019-03-01,AMER3,0.007634
EqualWeight,2019-03-01,AXIA3,0.007634
EqualWeight,2019-03-01,AXIA6,0.007634
EqualWeight,2019-03-01,B3SA3,0.007634
EqualWeight,2019-03-01,BBAS3,0.007634
EqualWeight,2019-03-01,BBDC3,0.007634
EqualWeight,2019-03-01,BBDC4,0.007634
EqualWeight,2019-03-01,BEEF3,0.007634
EqualWeight,2019-03-01,BEES3,0.007634
EqualWeight,2019-03-01,BRAP3,0.007634
EqualWeight,2019-03-01,BRAP4,0.007634
EqualWeight,2019-03-01,BRKM3,0.007634
EqualWeight,2019-03-01,BRKM5,0.007634
EqualWeight,2019-03-01,BRSR6,0.007634
EqualWeight,2019-03-01,CGAS5,0.007634
EqualWeight,2019-03-01,CLSC4,0.007634
EqualWeight,2019-03-01,CMIG3,0.007634
EqualWeight,2019-03-01,CMIG4,0.007634
EqualWeight,2019-03-01,COCE5,0.007634
EqualWeight,2019-03-01,CPFE3,0.007634
EqualWeight,2019-03-01,CPLE3,0.007634
EqualWeight,2019-03-01,CSAN3,0.007634
EqualWeight,2019-03-01,CSMG3,0.007634
EqualWeight,2019-03-01,CSNA3,0.007634
EqualWeight,2019-03-01,CSUD3,0.007634
EqualWeight,2019-03-01,CYRE3,0.007634
EqualWeight,2019-03-01,DIRR3,0.007634
EqualWeight,2019-03-01,DXCO3,0.007634
EqualWeight,2019-03-01,EGIE3,0.007634
EqualWeight,2019-03-01,EMBJ3,0.007634
EqualWeight,2019-03-01,ENEV3,0.007634
EqualWeight,2019-03-01,EQTL3,0.007634
EqualWeight,2019-03-01,ETER3,0.007634
EqualWeight,2019-03-01,EUCA4,0.007634
EqualWeight,2019-03-01,EVEN3,0.007634
EqualWeight,2019-03-01,EZTC3,0.007634
EqualWeight,2019-03-01,FESA4,0.007634
EqualWeight,2019-03-01,FHER3,0.007634
EqualWeight,2019-03-01,FICT3,0.007634
EqualWeight,2019-03-01,FLRY3,0.007634
EqualWeight,2019-03-01,GFSA3,0.007634
EqualWeight,2019-03-01,GGBR3,0.007634
EqualWeight,2019-03-01,GGBR4,0.007634
EqualWeight,2019-03-01,GOAU3,0.007634
EqualWeight,2019-03-01,GOAU4,0.007634
EqualWeight,2019-03-01,GOLL54,0.007634
EqualWeight,2019-03-01,GRND3,0.007634
EqualWeight,2019-03-01,HAGA4,0.007634
EqualWeight,2019-03-01,HBOR3,0.007634
EqualWeight,2019-03-01,HYPE3,0.007634
EqualWeight,2019-03-01,INEP4,0.007634
EqualWeight,2019-03-01,ISAE4,0.007634
EqualWeight,2019-03-01,ITSA3,0.007634
EqualWeight,2019-03-01,ITSA4,0.007634
EqualWeight,2019-03-01,ITUB3,0.007634
EqualWeight,2019-03-01,ITUB4,0.007634
EqualWeight,2019-03-01,JHSF3,0.007634
EqualWeight,2019-03-01,KEPL3,0.007634
EqualWeight,2019-03-01,KLBN4,0.007634
EqualWeight,2019-03-01,LAND3,0.007634
EqualWeight,2019-03-01,LIGT3,0.007634
EqualWeight,2019-03-01,LOGN3,0.007634
EqualWeight,2019-03-01,LPSB3,0.007634
EqualWeight,2019-03-01,LREN3,0.007634
EqualWeight,2019-03-01,LUPA3,0.007634
EqualWeight,2019-03-01,MBRF3,0.007634
EqualWeight,2019-03-01,MDIA3,0.007634
EqualWeight,2019-03-01,MOTV3,0.007634
EqualWeight,2019-03-01,MRVE3,0.007634
EqualWeight,2019-03-01,MULT3,0.007634
EqualWeight,2019-03-01,MYPK3,0.007634
EqualWeight,2019-03-01,NATU3,0.007634
EqualWeight,2019-03-01,NEXP3,0.007634
EqualWeight,2019-03-01,ODPV3,0.007634
EqualWeight,2019-03-01,OIBR3,0.007634
EqualWeight,2019-03-01,OIBR4,0.007634
EqualWeight,2019-03-01,PDGR3,0.007634
EqualWeight,2019-03-01,PDTC3,0.007634
EqualWeight,2019-03-01,PETR3,0.007634
EqualWeight,2019-03-01,PETR4,0.007634
EqualWeight,2019-03-01,PFRM3,0.007634
EqualWeight,2019-03-01,PINE4,0.007634
EqualWeight,2019-03-01,PMAM3,0.007634
EqualWeight,2019-03-01,POMO3,0.007634
EqualWeight,2019-03-01,POMO4,0.007634
EqualWeight,2019-03-01,POSI3,0.007634
EqualWeight,2019-03-01,PSSA3,0.007634
EqualWeight,2019-03-01,PTBL3,0.007634
EqualWeight,2019-03-01,RADL3,0.007634
EqualWeight,2019-03-01,RAPT4,0.007634
EqualWeight,2019-03-01,RCSL4,0.007634
EqualWeight,2019-03-01,RDNI3,0.007634
EqualWeight,2019-03-01,RENT3,0.007634
EqualWeight,2019-03-01,RIAA3,0.007634
EqualWeight,2019-03-01,ROMI3,0.007634
EqualWeight,2019-03-01,RPMG3,0.007634
EqualWeight,2019-03-01,RSID3,0.007634
EqualWeight,2019-03-01,SANB11,0.007634
EqualWeight,2019-03-01,SANB3,0.007634
EqualWeight,2019-03-01,SANB4,0.007634
EqualWeight,2019-03-01,SAPR4,0.007634
EqualWeight,2019-03-01,SBSP3,0.007634
EqualWeight,2019-03-01,SCAR3,0.007634
EqualWeight,2019-03-01,SHUL4,0.007634
EqualWeight,2019-03-01,SLCE3,0.007634
EqualWeight,2019-03-01,SMTO3,0.007634
EqualWeight,2019-03-01,TASA4,0.007634
EqualWeight,2019-03-01,TCSA3,0.007634
EqualWeight,2019-03-01,TELB4,0.007634
EqualWeight,2019-03-01,TGMA3,0.007634
EqualWeight,2019-03-01,TIMS3,0.007634
EqualWeight,2019-03-01,TOTS3,0.007634
EqualWeight,2019-03-01,TPIS3,0.007634
EqualWeight,2019-03-01,TRIS3,0.007634
EqualWeight,2019-03-01,TUPY3,0.007634
EqualWeight,2019-03-01,UNIP6,0.007634
EqualWeight,2019-03-01,USIM3,0.007634
EqualWeight,2019-03-01,USIM5,0.007634
EqualWeight,2019-03-01,VALE3,0.007634
EqualWeight,2019-03-01,VIVR3,0.007634
EqualWeight,2019-03-01,VIVT3,0.007634
EqualWeight,2019-03-01,VLID3,0.007634
EqualWeight,2019-03-01,VSTE3,0.007634
EqualWeight,2019-03-01,WEGE3,0.007634
EqualWeight,2019-03-01,WHRL4,0.007634
EqualWeight,2019-03-01,YDUQ3,0.007634
EqualWeight,2019-04-01,ABCB4,0.007634
EqualWeight,2019-04-01,ABEV3,0.007634
EqualWeight,2019-04-01,AGRO3,0.007634
EqualWeight,2019-04-01,ALPA4,0.007634
EqualWeight,2019-04-01,AMAR3,0.007634
EqualWeight,2019-04-01,AMER3,0.007634
EqualWeight,2019-04-01,AXIA3,0.007634
EqualWeight,2019-04-01,AXIA6,0.007634
EqualWeight,2019-04-01,B3SA3,0.007634
EqualWeight,2019-04-01,BBAS3,0.007634
EqualWeight,2019-04-01,BBDC3,0.007634
EqualWeight,2019-04-01,BBDC4,0.007634
EqualWeight,2019-04-01,BEEF3,0.007634
EqualWeight,2019-04-01,BEES3,0.007634
EqualWeight,2019-04-01,BRAP3,0.007634
EqualWeight,2019-04-01,BRAP4,0.007634
EqualWeight,2019-04-01,BRKM3,0.007634
EqualWeight,2019-04-01,BRKM5,0.007634
EqualWeight,2019-04-01,BRSR6,0.007634
EqualWeight,2019-04-01,CGAS5,0.007634
EqualWeight,2019-04-01,CLSC4,0.007634
EqualWeight,2019-04-01,CMIG3,0.007634
EqualWeight,2019-04-01,CMIG4,0.007634
EqualWeight,2019-04-01,COCE5,0.007634
EqualWeight,2019-04-01,CPFE3,0.007634
EqualWeight,2019-04-01,CPLE3,0.007634
EqualWeight,2019-04-01,CSAN3,0.007634
EqualWeight,2019-04-01,CSMG3,0.007634
EqualWeight,2019-04-01,CSNA3,0.007634
EqualWeight,2019-04-01,CSUD3,0.007634
EqualWeight,2019-04-01,CYRE3,0.007634
EqualWeight,2019-04-01,DIRR3,0.007634
EqualWeight,2019-04-01,DXCO3,0.007634
EqualWeight,2019-04-01,EGIE3,0.007634
EqualWeight,2019-04-01,EMBJ3,0.007634
EqualWeight,2019-04-01,ENEV3,0.007634
EqualWeight,2019-04-01,EQTL3,0.007634
EqualWeight,2019-04-01,ETER3,0.007634
EqualWeight,2019-04-01,EUCA4,0.007634
EqualWeight,2019-04-01,EVEN3,0.007634
EqualWeight,2019-04-01,EZTC3,0.007634
EqualWeight,2019-04-01,FESA4,0.007634
EqualWeight,2019-04-01,FHER3,0.007634
EqualWeight,2019-04-01,FICT3,0.007634
EqualWeight,2019-04-01,FLRY3,0.007634
EqualWeight,2019-04-01,GFSA3,0.007634
EqualWeight,2019-04-01,GGBR3,0.007634
EqualWeight,2019-04-01,GGBR4,0.007634
EqualWeight,2019-04-01,GOAU3,0.007634
EqualWeight,2019-04-01,GOAU4,0.007634
