Data;Q Negs;Q Títs;Volume$;Fechamento;Abertura;Mínimo;Máximo;Médio
2006-06-08;1.0;1000.0;10010.0;4.5576656372;4.5576656372;4.5576656372;4.5576656372;4.5576656372
2006-06-13;1.0;100.0;971.0;4.4210722614;4.4210722614;4.4210722614;4.4210722614;4.4210722614
2006-06-14;1.0;100.0;943.0;4.2935851107;4.2935851107;4.2935851107;4.2935851107;4.2935851107
2006-06-21;1.0;100.0;915.0;4.16609796;4.16609796;4.16609796;4.16609796;4.16609796
2006-06-22;1.0;100.0;890.0;4.0522701469;4.0522701469;4.0522701469;4.0522701469;4.0522701469
2006-06-23;1.0;100.0;865.0;3.9384423338;3.9384423338;3.9384423338;3.9384423338;3.9384423338
2006-06-26;1.0;100.0;840.0;3.8246145207;3.8246145207;3.8246145207;3.8246145207;3.8246145207
2006-06-29;1.0;100.0;901.0;4.1023543847;4.1023543847;4.1023543847;4.1023543847;4.1023543847
2006-07-17;3.0;300.0;2390.0;4.5531125246;3.1644132046;3.1644132046;4.5531125246;3.6288306821
2006-07-18;1.0;100.0;1700.0;7.7402912919;7.7402912919;7.7402912919;7.7402912919;7.7402912919
2007-10-31;21.0;1050000.0;23388207.0;12.818114121;10.449136734;10.449136734;12.818114121;10.572570425
2007-11-01;1.0;100.0;2660.0;12.628216134;12.628216134;12.628216134;12.628216134;12.628216134
2007-11-05;1.0;500.0;13300.0;12.628216134;12.628216134;12.628216134;12.628216134;12.628216134
2007-11-06;1.0;500.0;13495.0;12.813366672;12.813366672;12.813366672;12.813366672;12.813366672
2007-11-14;1.0;100.0;2699.0;12.813366672;12.813366672;12.813366672;12.813366672;12.813366672
2007-11-22;1.0;100.0;2699.0;12.813366672;12.813366672;12.813366672;12.813366672;12.813366672
2007-11-26;3.0;600.0;16194.0;12.813366672;12.813366672;12.813366672;12.813366672;12.813366672
2007-11-28;3.0;300.0;7951.0;12.818114121;13.530231573;11.398626669;13.530231573;12.580741638
2007-11-30;2.0;200.0;4999.0;12.338621704;11.393879219;11.393879219;12.338621704;11.868624186
2007-12-04;1.0;400.0;10880.0;12.913063115;12.913063115;12.913063115;12.913063115;12.913063115
2007-12-06;3.0;600.0;16258.0;12.818114121;12.903568216;12.818114121;12.903568216;12.865588618
2007-12-10;3.0;300.0;8088.0;12.818114121;14.00497654;11.574282307;14.00497654;12.799124323
2007-12-11;1.0;100.0;2700.0;12.818114121;12.818114121;12.818114121;12.818114121;12.818114121
2007-12-12;4.0;400.0;10701.0;12.348116604;13.767604056;12.343369154;13.767604056;12.69942788
2007-12-27;2.0;200.0;5940.0;14.099925534;14.099925534;14.099925534;14.099925534;14.099925534
2008-01-03;2.0;800.0;24500.0;14.242349024;14.717093991;14.242349024;14.717093991;14.541438353
2008-01-07;1.0;100.0;3000.0;14.242349024;14.242349024;14.242349024;14.242349024;14.242349024
2008-02-08;2.0;3000.0;88500.0;14.00497654;14.00497654;14.00497654;14.00497654;14.00497654
2008-02-15;6.0;600.0;17142.0;14.00497654;11.878119086;11.878119086;14.00497654;13.56346372
2008-02-25;3.0;1100.0;33000.0;14.242349024;14.242349024;14.242349024;14.242349024;14.242349024
2008-03-04;7.0;800.0;23360.0;14.242349024;14.00497654;13.292859089;14.242349024;13.86255305
2008-03-06;1.0;500.0;15000.0;14.242349024;14.242349024;14.242349024;14.242349024;14.242349024
2008-03-12;5.0;800.0;23458.0;14.242349024;12.381348751;12.381348751;14.242349024;13.919522446
2008-03-17;2.0;300.0;8800.0;14.242349024;13.292859089;13.292859089;14.242349024;13.924269896
2008-03-26;2.0;200.0;5798.0;13.762856607;13.762856607;13.762856607;13.762856607;13.762856607
2008-03-27;3.0;400.0;11650.0;13.767604056;14.00497654;13.767604056;14.00497654;13.829320902
2008-03-28;1.0;100.0;2900.0;13.767604056;13.767604056;13.767604056;13.767604056;13.767604056
2008-04-03;7.0;1600.0;41001.0;12.818114121;11.868624186;11.868624186;12.818114121;12.167713516
2008-04-04;1.0;100.0;2700.0;12.818114121;12.818114121;12.818114121;12.818114121;12.818114121
2008-04-11;26.0;33400.0;1001903.0;14.232854125;14.242349024;14.232854125;14.242349024;14.242349024
2008-04-15;2.0;300.0;9000.0;14.242349024;14.242349024;14.242349024;14.242349024;14.242349024
2008-04-22;5.0;16400.0;492000.0;14.242349024;14.242349024;14.242349024;14.242349024;14.242349024
2008-04-23;6.0;65900.0;1977000.0;14.242349024;14.242349024;14.242349024;14.242349024;14.242349024
2008-04-24;4.0;10200.0;306500.0;15.429211443;15.429211443;14.242349024;15.429211443;14.266086272
2008-04-25;5.0;1300.0;43001.0;15.666583926;16.616073862;15.196586409;16.616073862;15.704563524
2008-04-30;4.0;700.0;23093.0;15.948759493;15.948759493;15.948759493;15.948759493;15.948759493
2008-05-06;3.0;31300.0;1032900.0;15.953593915;15.953593915;15.953593915;15.953593915;15.953593915
2008-05-07;7.0;301200.0;10542750.0;17.887362875;15.953593915;15.953593915;17.887362875;16.920478395
2008-05-08;5.0;2400.0;88800.0;17.887362875;17.887362875;17.887362875;17.887362875;17.887362875
2008-05-09;2.0;200.0;7500.0;18.129083995;18.129083995;18.129083995;18.129083995;18.129083995
2008-05-12;4.0;10700.0;401350.0;18.370805115;18.129083995;17.887362875;18.370805115;18.133918418
2008-05-19;6.0;9000.0;346340.0;18.612526235;18.322460891;18.322460891;18.612526235;18.60285739
2008-05-21;2.0;80500.0;2817700.0;17.403920635;16.920478395;16.920478395;17.403920635;16.920478395
2008-05-28;3.0;3200.0;118700.0;17.935707099;17.887362875;17.887362875;17.935707099;17.930872677
2008-05-30;4.0;20000.0;743330.0;18.274116667;17.935707099;17.935707099;18.274116667;17.969548056
2008-06-02;2.0;5000.0;188990.0;18.274116667;18.264447822;18.264447822;18.274116667;18.274116667
2008-06-05;5.0;2000.0;74399.0;18.365970693;17.887362875;17.403920635;18.370805115;17.984051323
2008-06-12;3.0;400.0;15550.0;18.757558907;18.805903131;18.757558907;18.805903131;18.796234286
2008-06-16;2.0;200.0;7798.0;18.849412933;18.849412933;18.849412933;18.849412933;18.849412933
2008-07-03;6.0;3500.0;134366.0;18.607691813;18.607691813;16.920478395;18.607691813;18.559347589
2008-07-07;2.0;200.0;7340.0;18.564182011;16.920478395;16.920478395;18.564182011;17.742330203
2008-07-08;2.0;5000.0;192400.0;18.60285739;18.60285739;18.60285739;18.60285739;18.60285739
2008-07-22;3.0;1800.0;64232.0;17.882528453;18.124249573;16.915643973;18.124249573;17.249219119
2008-07-30;5.0;38800.0;1358050.0;17.162199515;16.920478395;16.920478395;17.162199515;16.920478395
2008-07-31;5.0;2000.0;71000.0;17.162199515;17.162199515;17.162199515;17.162199515;17.162199515
2008-08-04;2.0;200.0;7397.0;17.882528453;17.87769403;17.87769403;17.882528453;17.882528453
2008-08-05;1.0;1300.0;48100.0;17.887362875;17.887362875;17.887362875;17.887362875;17.887362875
2008-08-06;1.0;600.0;22200.0;17.887362875;17.887362875;17.887362875;17.887362875;17.887362875
2008-08-14;1.0;400.0;14396.0;17.399086213;17.399086213;17.399086213;17.399086213;17.399086213
2008-08-18;2.0;200.0;7300.0;17.887362875;17.403920635;17.403920635;17.887362875;17.645641755
2008-08-20;3.0;700.0;25900.0;17.887362875;17.887362875;17.887362875;17.887362875;17.887362875
2008-08-21;2.0;1100.0;40700.0;17.887362875;17.887362875;17.887362875;17.887362875;17.887362875
2008-09-11;1.0;100.0;3699.0;17.882528453;17.882528453;17.882528453;17.882528453;17.882528453
2008-09-23;1.0;200.0;7398.0;17.882528453;17.882528453;17.882528453;17.882528453;17.882528453
2008-09-26;2.0;300.0;11082.0;17.858356341;17.858356341;17.858356341;17.858356341;17.858356341
2008-09-29;11.0;1600.0;42098.0;14.019824956;12.086055996;12.086055996;14.493598351;12.719365331
2008-09-30;3.0;300.0;7497.0;12.071552729;12.086055996;12.071552729;12.086055996;12.081221574
2008-10-02;7.0;1000.0;22903.0;12.086055996;9.6736792198;9.6736792198;12.086055996;11.070827293
2008-10-03;3.0;300.0;7501.0;12.569498236;11.124005939;11.124005939;12.569498236;12.086055996
2008-10-06;2.0;300.0;7800.0;12.569498236;12.569498236;12.569498236;12.569498236;12.569498236
2008-10-07;11.0;2400.0;48989.0;10.635729277;9.6688447974;9.6688447974;10.635729277;9.8670561158
2008-10-08;2.0;300.0;6600.0;10.635729277;10.635729277;10.635729277;10.635729277;10.635729277
2008-10-09;1.0;100.0;2200.0;10.635729277;10.635729277;10.635729277;10.635729277;10.635729277
2008-10-10;7.0;1100.0;19630.0;10.539040829;8.2185180778;8.2185180778;10.539040829;8.6294439817
2008-10-13;9.0;2300.0;39050.0;7.9767969579;8.2185180778;7.9767969579;8.2185180778;8.208849233
2008-10-14;2.0;200.0;3639.0;9.615666151;7.9767969579;7.9767969579;9.615666151;8.7986487657
2008-10-15;4.0;400.0;7195.0;9.5963284614;8.2185180778;8.2185180778;9.5963284614;8.6971258953
2008-10-16;2.0;200.0;4135.0;10.128114925;9.8622216934;9.8622216934;10.128114925;9.9975855205
2008-10-17;25.0;126600.0;2013389.0;8.2185180778;7.9767969579;7.63838739;8.2185180778;7.6867316139
2008-10-20;2.0;500.0;8500.0;8.2185180778;8.2185180778;8.2185180778;8.2185180778;8.2185180778
2008-10-22;1.0;5500.0;86900.0;7.63838739;7.63838739;7.63838739;7.63838739;7.63838739
2008-10-23;4.0;109500.0;1730200.0;7.63838739;7.7350758379;7.63838739;7.7350758379;7.63838739
2008-10-24;4.0;121500.0;1834860.0;7.445010494;7.493354718;7.2516335981;7.493354718;7.2999778221
2008-10-30;3.0;700.0;10816.0;7.6867316139;7.2564680205;7.2564680205;7.6867316139;7.469182606
2008-10-31;2.0;400.0;6540.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-11-05;2.0;2500.0;40875.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-11-06;1.0;100.0;1635.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-11-07;1.0;800.0;13080.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-11-10;1.0;200.0;3270.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-11-11;1.0;200.0;3270.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-11-14;1.0;200.0;3268.0;7.8994461995;7.8994461995;7.8994461995;7.8994461995;7.8994461995
2008-11-21;1.0;1100.0;17952.0;7.8897773547;7.8897773547;7.8897773547;7.8897773547;7.8897773547
2008-11-28;1.0;600.0;9792.0;7.8897773547;7.8897773547;7.8897773547;7.8897773547;7.8897773547
2008-12-03;1.0;300.0;4503.0;7.2564680205;7.2564680205;7.2564680205;7.2564680205;7.2564680205
2008-12-04;8.0;3100.0;46616.0;7.7350758379;7.2564680205;7.2032893741;7.7350758379;7.2709712877
2008-12-05;2.0;300.0;4800.0;7.7350758379;7.7350758379;7.7350758379;7.7350758379;7.7350758379
2008-12-11;1.0;100.0;1635.0;7.9042806219;7.9042806219;7.9042806219;7.9042806219;7.9042806219
2008-12-17;5.0;17100.0;259920.0;7.348322046;7.348322046;7.348322046;7.348322046;7.348322046
2008-12-22;1.0;200.0;2980.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2008-12-26;1.0;100.0;1490.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2008-12-30;3.0;1100.0;17611.0;7.7399102603;7.7399102603;7.7399102603;7.7399102603;7.7399102603
2009-01-08;5.0;1900.0;30415.0;7.7350758379;7.7399102603;7.7350758379;7.7399102603;7.7399102603
2009-01-09;2.0;200.0;3202.0;7.7399102603;7.7399102603;7.7399102603;7.7399102603;7.7399102603
2009-01-13;3.0;1900.0;28753.0;7.2032893741;7.7399102603;7.2032893741;7.7399102603;7.3144810892
2009-01-14;1.0;300.0;4473.0;7.2081237965;7.2081237965;7.2081237965;7.2081237965;7.2081237965
2009-01-15;1.0;100.0;1490.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-01-29;3.0;4400.0;65560.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-01-30;2.0;5600.0;83440.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-03-11;2.0;1400.0;20874.0;7.2081237965;7.2081237965;7.2081237965;7.2081237965;7.2081237965
2009-03-13;1.0;100.0;1490.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-03-18;1.0;100.0;1490.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-03-31;7.0;10700.0;159437.0;7.2032893741;7.2081237965;7.2032893741;7.2081237965;7.2032893741
2009-04-01;3.0;400.0;5960.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-04-06;2.0;2600.0;38766.0;7.2081237965;7.2081237965;7.2081237965;7.2081237965;7.2081237965
2009-04-17;1.0;100.0;1500.0;7.2516335981;7.2516335981;7.2516335981;7.2516335981;7.2516335981
2009-04-20;2.0;200.0;2982.0;7.2032893741;7.2129582189;7.2032893741;7.2129582189;7.2081237965
2009-04-23;2.0;300.0;4470.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-04-28;1.0;1300.0;19370.0;7.2032893741;7.2032893741;7.2032893741;7.2032893741;7.2032893741
2009-04-30;1.0;100.0;1700.0;8.6503505437;8.6503505437;8.6503505437;8.6503505437;8.6503505437
2009-05-05;1.0;100.0;1799.0;9.1541062518;9.1541062518;9.1541062518;9.1541062518;9.1541062518
2009-05-11;1.0;100.0;1801.0;9.1642831348;9.1642831348;9.1642831348;9.1642831348;9.1642831348
2009-05-18;1.0;100.0;1850.0;9.4136167681;9.4136167681;9.4136167681;9.4136167681;9.4136167681
2009-05-20;1.0;100.0;1700.0;8.6503505437;8.6503505437;8.6503505437;8.6503505437;8.6503505437
2009-05-27;2.0;1300.0;23400.0;9.1591946933;9.1591946933;9.1591946933;9.1591946933;9.1591946933
2009-05-29;2.0;3000.0;55500.0;9.4136167681;9.4136167681;9.4136167681;9.4136167681;9.4136167681
2009-06-16;1.0;100.0;1800.0;9.1591946933;9.1591946933;9.1591946933;9.1591946933;9.1591946933
2009-07-29;4.0;2000.0;38000.0;9.6680388429;9.6680388429;9.6680388429;9.6680388429;9.6680388429
2009-07-30;3.0;900.0;17106.0;9.6680388429;9.6680388429;9.6680388429;9.6731272844;9.6731272844
2009-08-04;1.0;800.0;15200.0;9.6680388429;9.6680388429;9.6680388429;9.6680388429;9.6680388429
2009-08-07;2.0;1300.0;24790.0;10.125998577;9.6680388429;9.6680388429;10.125998577;9.7036579334
2009-08-13;1.0;100.0;1990.0;10.125998577;10.125998577;10.125998577;10.125998577;10.125998577
2009-08-25;4.0;5200.0;98700.0;9.6680388429;9.1591946933;9.1591946933;9.6680388429;9.6578619599
2009-09-23;1.0;500.0;9500.0;9.6680388429;9.6680388429;9.6680388429;9.6680388429;9.6680388429
2009-10-23;1.0;100.0;1949.0;9.9173724762;9.9173724762;9.9173724762;9.9173724762;9.9173724762
2009-10-30;3.0;400.0;7400.0;9.4136167681;9.4136167681;9.4136167681;9.4136167681;9.4136167681
2009-11-03;2.0;600.0;10800.0;9.1591946933;9.1591946933;9.1591946933;9.1591946933;9.1591946933
2009-11-13;1.0;100.0;1889.0;9.6120659865;9.6120659865;9.6120659865;9.6120659865;9.6120659865
2009-11-19;1.0;1000.0;18870.0;9.6018891035;9.6018891035;9.6018891035;9.6018891035;9.6018891035
2009-11-27;2.0;200.0;3784.0;9.596800662;9.6578619599;9.596800662;9.6578619599;9.627331311
2010-01-20;1.0;2100.0;39606.0;9.596800662;9.596800662;9.596800662;9.596800662;9.596800662
2010-01-28;2.0;2900.0;56260.0;9.8715765028;9.8715765028;9.8715765028;9.8715765028;9.8715765028
2010-02-02;1.0;100.0;1950.0;9.9224609177;9.9224609177;9.9224609177;9.9224609177;9.9224609177
2010-02-03;1.0;100.0;1990.0;10.125998577;10.125998577;10.125998577;10.125998577;10.125998577
2010-05-28;1.0;100.0;1980.0;10.121505242;10.121505242;10.121505242;10.121505242;10.121505242
2010-06-29;1.0;100.0;1989.0;10.167512084;10.167512084;10.167512084;10.167512084;10.167512084
2010-07-28;6.0;101200.0;2011856.0;10.162400213;10.162400213;10.162400213;10.162400213;10.162400213
2010-07-29;1.0;100.0;1989.0;10.167512084;10.167512084;10.167512084;10.167512084;10.167512084
2010-08-04;3.0;96500.0;1929956.0;10.223742669;10.167512084;10.167512084;10.223742669;10.223742669
2010-08-19;1.0;100.0;2000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2010-08-25;1.0;100.0;2000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2010-08-26;1.0;200.0;4000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2010-09-02;1.0;2800.0;56028.0;10.22885454;10.22885454;10.22885454;10.22885454;10.22885454
2010-10-18;2.0;4200.0;84042.0;10.22885454;10.22885454;10.22885454;10.22885454;10.22885454
2010-10-29;1.0;100.0;2100.0;10.734929802;10.734929802;10.734929802;10.734929802;10.734929802
2010-11-03;1.0;100.0;2100.0;10.734929802;10.734929802;10.734929802;10.734929802;10.734929802
2010-11-17;2.0;4300.0;90214.0;10.72470606;10.72470606;10.72470606;10.72470606;10.72470606
2010-11-23;1.0;500.0;10000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2010-11-24;1.0;200.0;4000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2010-11-29;1.0;200.0;4198.0;10.729817931;10.729817931;10.729817931;10.729817931;10.729817931
2010-11-30;1.0;100.0;2200.0;11.246116936;11.246116936;11.246116936;11.246116936;11.246116936
2010-12-22;3.0;600.0;12600.0;10.734929802;10.734929802;10.734929802;10.734929802;10.734929802
2010-12-30;1.0;100.0;2200.0;11.246116936;11.246116936;11.246116936;11.246116936;11.246116936
2011-03-25;4.0;1400.0;28000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2011-03-28;4.0;1200.0;24000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2011-03-29;2.0;500.0;10000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2011-04-11;1.0;400.0;8000.0;10.223742669;10.223742669;10.223742669;10.223742669;10.223742669
2011-05-25;1.0;100.0;2000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
2011-06-10;1.0;300.0;6000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
2011-08-01;1.0;900.0;18000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
2011-08-08;3.0;10000.0;200000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
2011-08-30;1.0;100.0;2000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
2011-09-01;1.0;900.0;18000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
2011-09-26;1.0;4900.0;98049.0;10.398849736;10.398849736;10.398849736;10.398849736;10.398849736
2011-10-04;1.0;3400.0;68034.0;10.398849736;10.398849736;10.398849736;10.398849736;10.398849736
2011-10-10;1.0;900.0;18000.0;10.39365291;10.39365291;10.39365291;10.39365291;10.39365291
